Tip;secao;Data;Loja;Valores
PERDA;BEBIDAS DEST E VINHO;31/01/2016;CAMPINAS;
PERDA;BEBIDAS REFRIGERADAS;31/01/2016;CAMPINAS;
PERDA;FRIOS;31/01/2016;CAMPINAS;
PERDA;FRIOS ACHOCOLATADOS;31/01/2016;CAMPINAS;
PERDA;FRIOS CONGELADOS;31/01/2016;CAMPINAS;
PERDA;FRIOS LATICINIOS;31/01/2016;CAMPINAS;
PERDA;HIGIENE;31/01/2016;CAMPINAS;
PERDA;HORT FRUT;31/01/2016;CAMPINAS;
PERDA;LEITE;31/01/2016;CAMPINAS;
PERDA;LIMPEZA DOMESTICA;31/01/2016;CAMPINAS;
PERDA;OVOS;31/01/2016;CAMPINAS;
PERDA;PADARIA INDUSTRIAL;31/01/2016;CAMPINAS;
PERDA;PADARIA PROPRIA;31/01/2016;CAMPINAS;
PERDA;PAPEL HIGIENICO;31/01/2016;CAMPINAS;
PERDA;PAPELARIA;31/01/2016;CAMPINAS;
PERDA;PEIXES RESFRIADOS;31/01/2016;CAMPINAS;
PERDA;PET SHOP;31/01/2016;CAMPINAS;
PERDA;UTILIDADES DOMESTICA;31/01/2016;CAMPINAS;
PERDA;VESTUARIO;31/01/2016;CAMPINAS;
PERDA;GERAL;31/01/2016;CAMPINAS;
PERDA;AÇOUGUE;31/01/2016;PAPILLON;
PERDA;ALHO;31/01/2016;PAPILLON;
PERDA;ALIMENTOS DOCE;31/01/2016;PAPILLON;
PERDA;ALIMENTOS SALGADO;31/01/2016;PAPILLON;
PERDA;AUTOS;31/01/2016;PAPILLON;
PERDA;BASICO;31/01/2016;PAPILLON;
PERDA;BEBIDAS DEST E VINHO;31/01/2016;PAPILLON;
PERDA;BEBIDAS REFRIGERADAS;31/01/2016;PAPILLON;
PERDA;FRIOS;31/01/2016;PAPILLON;
PERDA;FRIOS ACHOCOLATADOS;31/01/2016;PAPILLON;
PERDA;FRIOS CONGELADOS;31/01/2016;PAPILLON;
PERDA;FRIOS LATICINIOS;31/01/2016;PAPILLON;
PERDA;HIGIENE;31/01/2016;PAPILLON;
PERDA;HORT FRUT;31/01/2016;PAPILLON;
PERDA;LEITE;31/01/2016;PAPILLON;
PERDA;LIMPEZA DOMESTICA;31/01/2016;PAPILLON;
PERDA;OVOS;31/01/2016;PAPILLON;
PERDA;PADARIA INDUSTRIAL;31/01/2016;PAPILLON;
PERDA;PADARIA PROPRIA;31/01/2016;PAPILLON;
PERDA;PAPEL HIGIENICO;31/01/2016;PAPILLON;
PERDA;PAPELARIA;31/01/2016;PAPILLON;
PERDA;PEIXES RESFRIADOS;31/01/2016;PAPILLON;
PERDA;PET SHOP;31/01/2016;PAPILLON;
PERDA;UTILIDADES DOMESTICA;31/01/2016;PAPILLON;
PERDA;VESTUARIO;31/01/2016;PAPILLON;
PERDA;GERAL;31/01/2016;PAPILLON;
PERDA;AÇOUGUE;31/01/2016;PORTAL;
PERDA;ALHO;31/01/2016;PORTAL;
PERDA;ALIMENTOS DOCE;31/01/2016;PORTAL;
PERDA;ALIMENTOS SALGADO;31/01/2016;PORTAL;
PERDA;AUTOS;31/01/2016;PORTAL;
PERDA;BASICO;31/01/2016;PORTAL;
PERDA;BEBIDAS DEST E VINHO;31/01/2016;PORTAL;
PERDA;BEBIDAS REFRIGERADAS;31/01/2016;PORTAL;
PERDA;FRIOS;31/01/2016;PORTAL;
PERDA;FRIOS ACHOCOLATADOS;31/01/2016;PORTAL;
PERDA;FRIOS CONGELADOS;31/01/2016;PORTAL;
PERDA;FRIOS LATICINIOS;31/01/2016;PORTAL;
PERDA;HIGIENE;31/01/2016;PORTAL;
PERDA;HORT FRUT;31/01/2016;PORTAL;
PERDA;LEITE;31/01/2016;PORTAL;
PERDA;LIMPEZA DOMESTICA;31/01/2016;PORTAL;
PERDA;OVOS;31/01/2016;PORTAL;
PERDA;PADARIA INDUSTRIAL;31/01/2016;PORTAL;
PERDA;PADARIA PROPRIA;31/01/2016;PORTAL;
PERDA;PAPEL HIGIENICO;31/01/2016;PORTAL;
PERDA;PAPELARIA;31/01/2016;PORTAL;
PERDA;PEIXES RESFRIADOS;31/01/2016;PORTAL;
PERDA;PET SHOP;31/01/2016;PORTAL;
PERDA;UTILIDADES DOMESTICA;31/01/2016;PORTAL;
PERDA;VESTUARIO;31/01/2016;PORTAL;
PERDA;GERAL;31/01/2016;PORTAL;
PERDA;AÇOUGUE;31/01/2016;GERAL;-23266,56
PERDA;ALHO;31/01/2016;GERAL;-2018,44
PERDA;ALIMENTOS DOCE;31/01/2016;GERAL;-2904,34
PERDA;ALIMENTOS SALGADO;31/01/2016;GERAL;-1535,02
PERDA;AUTOS;31/01/2016;GERAL;-550,45
PERDA;BASICO;31/01/2016;GERAL;-1648,07
PERDA;BEBIDAS DEST E VINHO;31/01/2016;GERAL;-164,04
PERDA;BEBIDAS REFRIGERADAS;31/01/2016;GERAL;-710,35
PERDA;FRIOS;31/01/2016;GERAL;-239,33
PERDA;FRIOS ACHOCOLATADOS;31/01/2016;GERAL;-6,94
